Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22 pF,
"C3, C4",0805,2,10 uF,
C5,0805,1,100 nF,
"F1, F2, F3, F4, F5",0805,5,Fuse,
"J1, J2, J3, J4, J5",SAMTEC_USB-A-S-X-X-TH,5,USB-A-S-X-X-TH,
U1,SO16,1,SL2.1A,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm_HandSoldering,1,TSX-3225_12.0000MF18X-C,
